NAME,nufus
Hüseyingazi Mh.,7941
Alt?a?aç Mh.,7893
Karaa?aç Mh.,7878
Bahçeleriçi Mh.,7617
Dutluk Mh.,7551
Bo?aziçi Mh.,7539
Üre?il Mh.,7343
?ahintepe Mh.,7316
?irintepe Mh.,7286
Fahri Korutürk Mh.,7243
Ak?emsettin Mh.,7235
?ahap Gürler Mh.,7235
Kaz?m Orbay Mh.,7138
Kutlu Mh.,7096
General Zeki Do?an Mh.,7031
Mutlu Mh.,6997
A?a?? ?mrahor Mh.,6956
Orta ?mrahor Mh.,6940
Ege Mh.,6928
Durali Al?ç Mh.,6921
Cengizhan Mh.,6874
Yukar? ?mrahor Mh.,6785
Ptt Evleri Mh.,6750
Araplar Mh.,6675
Dostlar Mh.,6600
Köstence Mh.,6563
Tepecik Mh.,6494
Mehmet Akif Ersoy Mh.,6459
Plevne Mh.,6408
Ak?emsettin Mh.,6257
?stasyon Mh.,6143
Tando?an Mh.,6137
Atatürk Mh.,6132
Mare?al Çakmak Mh.,6059
Ye?ilova Mh.,5994
Atakent Mh.,5928
Topçu Mh.,5875
Selçuklu Mh.,5849
Andiçen Mh.,5800
P?narba?? Mh.,5798
Malazgirt Mh.,5784
O?uzlar Mh.,5727
Osmanl? Mh.,5696
Ertu?rulgazi Mh.,5694
Ayy?ld?z Mh.,5681
Etiler Mh.,5645
30 A?ustos Mh.,5525
Kaz?m Karabekir Mh.,5511
?stasyon Mh.,5419
Alsancak Mh.,5392
Piyade Mh.,5371
?eker Mh.,5326
?ehit Osman Avc? Mh.,5230
?eyh ?amil Mh.,5222
Tunahan Mh.,5205
Yunus Emre Mh.,5050
Eryaman Mh.,4982
Fatih Mh.,4960
Gökçek Mh.,4945
Törekent Mh.,4881
Altay Mh.,4845
Mevlana Mh.,4835
Yeni Bat? Mh.,4829
Be?tepeler Mh.,4801
Bahçekap? Mh.,4767
Sö?ütözü Mh.,4744
Mustafa Kemal Mh.,4739
A?a?? Yahyalar Mh.,4734
?vedik Mh.,4662
Ostim Mh.,4583
?lk Yerle?im Mh.,4565
Kardelen Mh.,4564
Koru Mh.,4556
Konutkent Mh.,4518
Küçük Kaya? Mh.,4455
Ye?ilbay?r Mh.,4415
Kaya? Mh.,4364
Ayd?nc?k Mh.,4268
Peçenek Mh.,4261
Kavakl? Mh.,4200
Karata? Mh.,4164
Oran Mh.,4156
Erler Mh.,4035
Ya?amkent Mh.,4024
Ba?l?ca Mh.,3996
Yeni Bay?nd?r Mh.,3987
Ba?lariçi Mh.,3955
Baraj Mh.,3889
Karacaören Mh.,3809
,3804
K?z?lca Mh.,3778
Gökçeyurt Mh.,3709
Örencik Mh.,3649
Se?menler Mh.,3622
Beytepe Mh.,3613
Üniversiteler Mh.,3612
?efkat Mh.,3609
Tepeba?? Mh.,3577
19 May?s Mh.,3547
Emek Mh.,3514
Bahçelievler Mh.,3380
Yukar? Bahçelievler Mh.,3356
Varl?k Mh.,3351
I??nlar Mh.,3343
Karakusunlar Mh.,3338
Ehlibeyt Mh.,3313
Engürü Mh.,3193
Y?ld?r?m Beyaz?t Mh.,3134
Etlik Mh.,3093
A?a?? E?lence Mh.,3045
Kalaba Mh.,3039
Çiçekli Mh.,3003
Bas?nevleri Mh.,2985
Çaml?tepe Mh.,2976
Cebeci Mh.,2967
Erzurum Mh.,2933
Necatibey Mh.,2927
Kale Mh.,2912
Ye?ilöz Mh.,2865
Dereboyu Mh.,2859
Y?ld?ztepe Mh.,2844
Yunus Emre Mh.,2786
Balkiraz Mh.,2770
Saimekad?n Mh.,2740
Harman Mh.,2690
Hürel Mh.,2635
Bahçelerüstü Mh.,2620
Gülveren Mh.,2602
Elvan Mh.,2592
Ekin Mh.,2591
Bostanc?k Mh.,2586
?afak Mh.,2523
Çald?ran Mh.,2483
Ku?ca??z Mh.,2417
Yakac?k Mh.,2412
Süvari Mh.,2409
Ümit Mh.,2366
Mutlukent Mh.,2320
Deveci Mh.,2312
Kesikköprü Mh.,2136
Boyal?k Mh.,2112
?ehit Emrah Mh.,2084
Bezirhane Merkez Mh.,2068
Ahmetçay?r? Mh.,2055
Yeniköy Mh.,2052
Yöreli Mh.,2023
Ba?içi Mh.,1951
So?ulcak Mh.,1935
Mahmatl?bahçe Mh.,1917
K?r?kl? Mh.,1912
Tepeyurt Mh.,1888
Mahmatl? Mh.,1835
Karagedik Mh.,1814
Çay?rl? Mh.,1736
Topakl? Mh.,1723
Ücret Mh.,1719
Hisarl?kaya Mh.,1717
Hallaçl? Mh.,1708
Gökçehöyük Mh.,1690
Hac?muratl? Mh.,1652
Ya?l?p?nar Mh.,1641
Ahiboz Mh.,1592
Günalan Mh.,1585
Tekke Mh.,1542
Mal?köy Mh.,1533
Bayram Mh.,1510
Ba?aya? Mh.,1493
Gökler Mh.,1478
Çukurören Mh.,1473
Türkobas? Mh.,1463
Ortabereket Mh.,1454
Bayat Mh.,1446
Çan?ll? Mh.,1438
A?a??adaköy Mh.,1409
Çavu?lar Mh.,1356
De?irmenönü Mh.,1334
Sar?lar Mh.,1312
Binkoz Mh.,1266
Karalar Mh.,1243
Demirciören Mh.,1236
Bitik Mh.,1223
K??laköy Mh.,1220
Çim?it Mh.,1201
Emirgazi Mh.,1200
Velihimmetli Mh.,1194
Sar?ayak Mh.,1158
??mir Mh.,1140
?mrendi Mh.,1124
Koparan Mh.,1121
Yaz?beyli Mh.,1119
Ayd?n Mh.,1098
Ci?ir Mh.,1094
Kump?nar Mh.,1078
Ball?kp?nar Mh.,1059
Akçaören Mh.,1052
K?z?lcaa?ar Mh.,1042
Yavrucak Mh.,1039
Pazar Mh.,1035
Ahi Mh.,1020
?nce?iz Mh.,1012
?ymir Mh.,1001
Yayalar Mh.,996
Güzelyurt Mh.,992
Beynam Mh.,989
Yuva Mh.,934
Gümü?yayla Mh.,932
Y?lmazköy Mh.,911
Yaylak Mh.,908
Pursaklar Mh.,908
Yi?itli Mh.,905
Karaali Mh.,899
Tu?laköy Mh.,897
S???rl?hac? Mh.,888
A?a??obruk Mh.,868
Yukar?obruk Mh.,867
Ovac?k Mh.,858
Kuruçay Mh.,844
Yaz?r Mh.,842
E?riekin Mh.,842
A??lc?k Mh.,818
Sarayc?k Mh.,785
Gökçedere Mh.,783
Karaa?aç Mh.,781
Karaman Mh.,775
A?a??çavundur Mh.,761
Bü?düz Mh.,756
Sünlü Mh.,740
Tahtayaz? Mh.,738
Çitköy Mh.,726
Sele Mh.,726
Yukar?çavundur Mh.,710
?eyhler Mh.,703
Karg?n Mh.,702
K?z?löz Mh.,695
Ömercik Mh.,688
Cücük Mh.,685
Lalahan Mh.,682
Mutlu Mh.,676
K?z?k Mh.,676
Yukar?emirler Mh.,659
Hasano?lan Mh.,658
Dedeler Mh.,651
Bozca Mh.,644
Kuyumcuköy Mh.,640
Karadana Mh.,636
Çam Mh.,635
